grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,saleAmt,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmtCategory
0.006051637,0.007217118,0.003347417,0.007217118,0.003861004,0.001934236,0.005181347,0.00680649,0.004375068,0.00334606,0.006952346,0.003540852,0.005791506,0.006422093,0.002522542,0,0.002522542,0.055104278,0.001111651,0.205161964,0.017622231,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.008052315,0.009133221,0.009257699,0.009133221,0.003861004,0.005802708,0.007253886,0.009932727,0.003927398,0.005536948,0.011474123,0.005860607,0.003861004,0.006901712,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.018851832,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Standard Price
0.00684805,0.005651596,0.005910282,0.005651596,0.003861004,0.003868472,0.007253886,0.008686189,0.001313072,0.004348744,0.009021786,0.009714178,0.005791506,0.008043204,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.023028861,0,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.006583498,0.009121132,0.004230763,0.009121132,0.003861004,0.005802708,0.007253886,0.006133755,0.005244212,0.003841822,0.00797554,0.004065781,0.007722008,0.005366932,0.002522542,0,0.002522542,0.055104278,0,0.205161964,0.014932401,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.007382667,0.00637089,0.006601849,0.00637089,0.003861004,0.007736944,0.007253886,0.008686189,0.001277424,0.004246967,0.008811768,0.00449476,0.003861004,0.007237445,0.042015133,0,0.04276895,0.055104278,0,0.205161964,0.018275602,0,0.051450964,0.121542658,0.82536183,0.086620281,Standard Price
0.008369227,0.01084381,0.01090235,0.01084381,0.005791506,0.005802708,0.008290155,0.007874951,0.004116471,0.005947807,0.012321877,0.006295632,0.005791506,0.012705097,0.042015133,0,0.04276895,0.104258282,0,0.205161964,0.017370503,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.010868697,0.010922389,0.010977899,0.010922389,0.001930502,0.005802708,0.008290155,0.00498615,0.004954104,0.005672294,0.011753293,0.006003912,0.007722008,0.007812987,0.042015133,0,0.04276895,0.104258282,0,0.205161964,0.015562336,0,0.051450964,0.121542658,1,0.086620281,Premium Price
0.006233517,0.008740329,0.00570688,0.008740329,0.001930502,0.005802708,0.007253886,0.004471706,0.004340798,0.005751662,0.011917209,0.006087953,0.005791506,0.004599542,0.042015133,0,0.04276895,0.104258282,0,0.205161964,0.012352838,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Budget-Friendly Price
0.008300333,0.010644342,0.004608509,0.010644342,0.005791506,0.003868472,0.008290155,0.007202216,0.005733044,0.003894585,0.008084391,0.004121645,0.007722008,0.003592343,0.002522542,0,0.002522542,0.055104278,0,0.205161964,0.013174878,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.010662015,0.01321325,0.007554933,0.01321325,0.003861004,0.005802708,0.008290155,0.007400079,0.007931214,0.006635249,0.013740775,0.007023518,0.007722008,0.01000964,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.017453871,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.00708229,0.008571083,0.003998303,0.008571083,0.003861004,0.003868472,0.006217617,0.007320934,0.005063608,0.003759954,0.007806502,0.003979094,0.007722008,0.005750627,0.002522542,0,0.002522542,0.055104278,0.001111651,0.205161964,0.015312405,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.005745749,0.006407157,0.003574064,0.006407157,0.003861004,0.003868472,0.006217617,0.006608627,0.003463382,0.00391253,0.008121528,0.00414064,0.005791506,0.003486827,0.042015133,0,0.04276895,0.055104278,0,0,0.01276455,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.009008562,0.010402563,0.006090438,0.010402563,0.005791506,0.00967118,0.007253886,0.008745548,0.005110089,0.005830406,0.012079844,0.006171322,0.007722008,0.006302188,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.0114064,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.006883875,0.009308511,0.006078815,0.009308511,0.005791506,0.003868472,0.008290155,0.006608627,0.005465979,0.005104484,0.010581549,0.005402718,0.005791506,0.004551581,0.042015133,0,0.04276895,0.055104278,0.001111651,0,0.016146283,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.011590704,0.014954062,0.007752524,0.014954062,0.003861004,0.00967118,0.011398964,0.007795805,0.007884733,0.006882193,0.014250451,0.00736133,0.007722008,0.005932882,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.013522778,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.011108447,0.01279618,0.007496818,0.01279618,0.003861004,0.005802708,0.008290155,0.010684606,0.006463929,0.006258584,0.012963454,0.006701035,0.007722008,0.005606742,0.042015133,0,0.04276895,0.055104278,0,0.205161964,0.012873304,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Standard Price
0.002177046,0.004775145,0.005067617,0.004775145,0.001930502,0.001934236,0.004145078,0.008101351,0.004182056,0.001891003,0.003949352,0.002000205,0.003861004,0.003160687,0,0,0,0.104258282,0,0.205161964,0.014921296,0,0.029006217,0.117893133,0.82536183,0,Budget-Friendly Price
0.001614872,0.00354207,0.003882073,0.00354207,0.001930502,0,0.002072539,0.008101351,0.003255402,0.001470948,0.00308239,0.001631793,0.001930502,0.002489221,0,0,0,0.104258282,0,0,0.013219763,0,0.029006217,0.117893133,0.82536183,0,Economical Price
0.005869758,0.006201644,0.006439128,0.006201644,0.003861004,0.007736944,0.007253886,0.006608627,0.007641105,0.003458997,0.007185414,0.003736784,0.005791506,0.003304572,0,0,0,0.055104278,0,0.205161964,0.012246673,0.135516671,0.029006217,0.117893133,0.442126971,0,Budget-Friendly Price
