grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmt
2680.0,2680.0,1438.0,2680.0,3.0,4.0,7.0,1248.0,67839.0,108003.0,1554000.0,10581.98,5.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,MARBLECRETE,2018-06-27,GOOD,FRAME,WOOD,"Garage, Detached",CONVENTIONAL HOUSE,450000.0
8839.0,3080.0,12169.0,3080.0,0.0,3.0,5.0,495.44229852169764,386541.0,618541.0,2132900.0,60447.76,0.0,COMMERCIAL (GENERAL),COMMERCIAL,COMMERCIAL (NEC),OTHER,PACKAGE,BRICK VENEER,2021-11-23,AVERAGE,WOOD,WOOD,"Garage, Attached",COMMERCIAL,2390000.0
2305.0,2305.0,2305.0,2305.0,2.0,4.0,7.0,924.0,34220.0,57190.0,822880.0,5618.92,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,MARBLECRETE,2019-08-21,AVERAGE,FRAME,WOOD,"Garage, Detached",CONVENTIONAL HOUSE,915000.0
1992.0,1992.0,1992.0,1992.0,1.0,3.0,5.0,384.0,19824.0,55999.0,805740.0,5558.58,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,MARBLECRETE,2019-06-03,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,750000.0
3359.0,2121.0,1359.0,2121.0,2.0,3.0,9.0,720.0,45387.0,74243.0,1068250.0,7284.54,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2020-12-16,AVERAGE,MASONRY,MASONRY,"Garage, Detached",CONVENTIONAL HOUSE,935000.0
3230.0,1377.0,1377.0,1377.0,1.0,3.0,5.0,476.0,26737.0,59131.0,850800.0,5808.5,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,BRICK VENEER,2013-10-24,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,500000.0
31604.0,31604.0,29972.0,31604.0,0.0,3.0,5.0,495.44229852169764,558250.0,1277450.0,4405000.0,118629.12,0.0,MANUFACTURING (LIGHT),INDUSTRIAL,LIGHT INDUSTRIAL,OTHER,PACKAGE,BRICK VENEER,2008-06-17,AVERAGE,BRICK,WOOD,"Garage, Attached",COMMERCIAL,3000000.0
2336.0,1760.0,1760.0,1760.0,1.0,3.0,7.0,1224.0,24626.0,46386.0,667430.0,4563.66,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,BLOCK,2023-03-08,AVERAGE,MASONRY,MASONRY,"Garage, Detached",CONVENTIONAL HOUSE,900000.0
2296.0,2296.0,1690.0,2296.0,2.0,4.0,6.0,1198.0,51701.0,83657.0,1203700.0,8204.04,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,MARBLECRETE,2015-12-28,AVERAGE,MASONRY,MASONRY,"Garage, Detached",CONVENTIONAL HOUSE,730000.0
4743.0,2119.0,2119.0,2119.0,3.0,5.0,10.0,624.0,55322.0,94103.0,1354000.0,9224.32,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2015-12-14,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1075000.0
